opportunity_id,sale_id,account_id,opportunity_name,stage_name,amount,probability,close_date,created_date,lead_source,type,campaign_id
OPP00000049,49,ACC000717,Returning User - ACC000717,Closed Won,112.84,100,2024-01-04,2023-12-13,Instagram,Returning User,53
OPP00000050,50,ACC000224,Premium Upgrade - ACC000224,Closed Won,75.06,100,2024-01-16,2023-12-15,Instagram,Premium Upgrade,19
OPP00000051,,ACC000900,New User - ACC000900,Activated,121.91,25,,2023-12-12,TikTok,New User,
OPP00000052,,ACC000933,New User - ACC000933,Activated,272.01,50,,2023-12-25,Email,New User,76
OPP00000053,53,ACC000739,New User - ACC000739,Closed Won,309.73,100,2024-01-06,2024-01-02,Play Store,New User,11
OPP00000054,,ACC000024,New User - ACC000024,Lead,218.32,25,,2024-01-02,Facebook Ads,New User,
OPP00000055,,ACC000877,Returning User - ACC000877,Activated,102.72,10,,2023-12-11,Influencer,Returning User,98
OPP00000056,56,ACC000286,New User - ACC000286,Closed Won,437.60,100,2024-01-07,2023-12-21,Influencer,New User,13
OPP00000057,,ACC000444,New User - ACC000444,Activated,144.61,75,,2023-12-10,Instagram,New User,
OPP00000058,,ACC000015,New User - ACC000015,Verification Pending,156.75,10,,2023-12-18,Play Store,New User,20
OPP00000059,59,ACC000202,New User - ACC000202,Closed Won,103.35,100,2024-01-02,2023-12-05,Instagram,New User,27
OPP00000060,60,ACC000431,New User - ACC000431,Closed Won,470.99,100,2024-01-12,2023-12-07,Email,New User,93
OPP00000061,61,ACC000048,New User - ACC000048,Closed Won,283.58,100,2024-01-05,2023-12-29,Play Store,New User,23
OPP00000062,,ACC000274,New User - ACC000274,Signup Complete,281.20,10,,2023-12-27,Instagram,New User,22
OPP00000063,,ACC000613,New User - ACC000613,Lead,213.15,75,,2023-12-20,Email,New User,47
OPP00000064,,ACC000388,Returning User - ACC000388,Signup Complete,96.96,50,,2023-12-06,Google Ads,Returning User,
OPP00000065,,ACC000698,New User - ACC000698,Signup Complete,215.88,50,,2023-12-23,App Store,New User,
OPP00000066,66,ACC000490,New User - ACC000490,Closed Won,235.80,100,2024-01-14,2023-12-28,Referral,New User,45
OPP00000067,,ACC000120,New User - ACC000120,Lead,221.01,50,,2023-12-29,TikTok,New User,46
OPP00000068,,ACC000362,Premium Upgrade - ACC000362,Lead,189.10,10,,2023-12-15,Email,Premium Upgrade,
OPP00000069,,ACC000568,New User - ACC000568,Signup Complete,286.61,10,,2023-12-12,Facebook Ads,New User,
OPP00000070,,ACC000026,New User - ACC000026,Activated,144.96,50,,2023-12-19,Organic Search,New User,
OPP00000071,,ACC000045,New User - ACC000045,Verification Pending,65.79,50,,2024-01-02,Referral,New User,60
OPP00000072,,ACC000114,New User - ACC000114,Signup Complete,102.15,25,,2024-01-02,Google Ads,New User,68
OPP00000073,,ACC000046,New User - ACC000046,Signup Complete,201.00,25,,2023-12-10,Google Ads,New User,
OPP00000074,,ACC000023,Premium Upgrade - ACC000023,Activated,139.19,75,,2023-12-06,TikTok,Premium Upgrade,
OPP00000075,,ACC000090,Returning User - ACC000090,Activated,228.82,10,,2023-12-28,Email,Returning User,35
OPP00000076,,ACC000665,Returning User - ACC000665,Signup Complete,203.82,50,,2023-12-05,Email,Returning User,25
OPP00000077,,ACC000804,New User - ACC000804,Verification Pending,99.18,50,,2023-12-21,App Store,New User,61
OPP00000078,,ACC000590,Returning User - ACC000590,Verification Pending,231.38,75,,2023-12-06,Google Ads,Returning User,
OPP00000079,,ACC000180,New User - ACC000180,Signup Complete,230.58,25,,2023-12-23,Referral,New User,6
OPP00000080,,ACC000311,Returning User - ACC000311,Activated,105.54,10,,2023-12-22,Organic Search,Returning User,30
OPP00000081,,ACC000611,Returning User - ACC000611,Signup Complete,241.32,25,,2024-01-01,App Store,Returning User,3
OPP00000082,,ACC000249,Premium Upgrade - ACC000249,Verification Pending,259.77,25,,2023-12-20,App Store,Premium Upgrade,
OPP00000083,,ACC000625,Returning User - ACC000625,Signup Complete,162.05,10,,2023-12-08,Facebook Ads,Returning User,53
OPP00000084,,ACC000959,Premium Upgrade - ACC000959,Verification Pending,110.76,75,,2023-12-21,Play Store,Premium Upgrade,65
OPP00000085,,ACC000415,New User - ACC000415,Verification Pending,88.13,10,,2023-12-26,App Store,New User,49
OPP00000086,,ACC000407,New User - ACC000407,Verification Pending,133.33,50,,2023-12-15,Facebook Ads,New User,
OPP00000087,,ACC000211,Premium Upgrade - ACC000211,Activated,58.27,50,,2024-01-03,Play Store,Premium Upgrade,10
OPP00000088,,ACC000197,New User - ACC000197,Signup Complete,250.31,75,,2023-12-04,Facebook Ads,New User,49
OPP00000089,89,ACC000054,Returning User - ACC000054,Closed Won,347.57,100,2024-01-07,2023-12-21,Referral,Returning User,31
OPP00000090,,ACC000068,New User - ACC000068,Verification Pending,58.24,50,,2023-12-23,App Store,New User,80
OPP00000091,,ACC000060,Premium Upgrade - ACC000060,Lead,95.34,10,,2023-12-20,Organic Search,Premium Upgrade,7
OPP00000092,,ACC000568,Returning User - ACC000568,Activated,178.49,10,,2023-12-04,Google Ads,Returning User,19
OPP00000093,,ACC000245,New User - ACC000245,Activated,204.15,75,,2023-12-06,Email,New User,52
OPP00000094,,ACC000327,New User - ACC000327,Activated,183.50,75,,2023-12-29,Google Ads,New User,
OPP00000095,,ACC000956,New User - ACC000956,Signup Complete,212.85,50,,2023-12-09,Facebook Ads,New User,
OPP00000096,,ACC000920,New User - ACC000920,Lead,227.73,50,,2024-01-03,Instagram,New User,50
OPP00000097,,ACC000752,Returning User - ACC000752,Activated,69.44,25,,2023-12-18,Organic Search,Returning User,100
OPP00000098,,ACC000386,Premium Upgrade - ACC000386,Lead,251.69,10,,2023-12-19,Referral,Premium Upgrade,
OPP00000099,99,ACC000536,New User - ACC000536,Closed Won,415.14,100,2024-01-09,2023-12-26,Email,New User,65
OPP00000100,,ACC000905,New User - ACC000905,Signup Complete,174.32,75,,2023-12-07,Influencer,New User,
OPP00000101,,ACC000564,New User - ACC000564,Activated,158.47,50,,2023-12-11,Instagram,New User,62
OPP00000102,,ACC000772,New User - ACC000772,Verification Pending,216.22,75,,2023-12-31,Play Store,New User,
OPP00000103,,ACC000761,New User - ACC000761,Verification Pending,216.28,25,,2023-12-26,TikTok,New User,62
OPP00000104,,ACC000840,New User - ACC000840,Verification Pending,267.96,25,,2023-12-13,TikTok,New User,91
OPP00000105,,ACC000904,New User - ACC000904,Verification Pending,284.79,50,,2023-12-30,Play Store,New User,86
OPP00000106,,ACC000582,Premium Upgrade - ACC000582,Verification Pending,293.69,75,,2023-12-16,Instagram,Premium Upgrade,69
OPP00000107,,ACC000825,New User - ACC000825,Activated,189.29,75,,2023-12-14,Email,New User,1
OPP00000108,,ACC000513,New User - ACC000513,Verification Pending,76.68,25,,2023-12-09,Play Store,New User,57
OPP00000109,,ACC000165,New User - ACC000165,Verification Pending,231.31,75,,2023-12-20,Email,New User,31
OPP00000110,,ACC000508,New User - ACC000508,Activated,72.54,10,,2023-12-28,Email,New User,
OPP00000111,111,ACC000147,New User - ACC000147,Closed Won,80.90,100,2024-01-13,2023-12-11,Email,New User,
OPP00000112,,ACC000693,Premium Upgrade - ACC000693,Signup Complete,259.89,75,,2023-12-28,TikTok,Premium Upgrade,14
OPP00000113,113,ACC000587,Returning User - ACC000587,Closed Won,440.74,100,2024-01-09,2023-12-10,Email,Returning User,
OPP00000114,,ACC000175,Premium Upgrade - ACC000175,Activated,229.18,75,,2023-12-25,Email,Premium Upgrade,88
OPP00000115,,ACC000371,New User - ACC000371,Activated,145.19,10,,2023-12-28,Play Store,New User,35
OPP00000116,,ACC000151,New User - ACC000151,Lead,66.60,50,,2023-12-29,Organic Search,New User,
OPP00000117,,ACC000157,New User - ACC000157,Verification Pending,262.44,25,,2023-12-18,App Store,New User,2
OPP00000118,,ACC000416,New User - ACC000416,Activated,196.90,25,,2023-12-09,Email,New User,69
OPP00000119,,ACC000053,Premium Upgrade - ACC000053,Verification Pending,143.13,10,,2023-12-30,Play Store,Premium Upgrade,79
OPP00000120,,ACC000666,New User - ACC000666,Verification Pending,177.40,75,,2024-01-03,Play Store,New User,17
OPP00000121,,ACC000703,New User - ACC000703,Activated,299.03,50,,2023-12-17,Instagram,New User,49
OPP00000122,,ACC000208,New User - ACC000208,Verification Pending,162.26,10,,2023-12-12,Facebook Ads,New User,
OPP00000123,,ACC000009,New User - ACC000009,Signup Complete,297.59,25,,2023-12-09,Organic Search,New User,96
OPP00000124,,ACC000732,New User - ACC000732,Lead,50.73,50,,2023-12-21,TikTok,New User,5
OPP00000125,125,ACC000708,New User - ACC000708,Closed Won,261.05,100,2024-01-04,2023-12-26,Google Ads,New User,37
OPP00000126,,ACC000016,New User - ACC000016,Verification Pending,121.36,50,,2023-12-19,App Store,New User,4
OPP00000127,127,ACC000803,New User - ACC000803,Closed Won,219.50,100,2024-01-16,2023-12-29,TikTok,New User,31
OPP00000128,,ACC000451,Returning User - ACC000451,Lead,134.73,10,,2023-12-28,Influencer,Returning User,
OPP00000129,,ACC000755,New User - ACC000755,Lead,67.37,50,,2023-12-07,Email,New User,
OPP00000130,,ACC000824,New User - ACC000824,Signup Complete,236.92,10,,2024-01-04,Influencer,New User,
OPP00000131,,ACC000403,Premium Upgrade - ACC000403,Activated,182.45,10,,2023-12-25,TikTok,Premium Upgrade,100
OPP00000132,,ACC000562,New User - ACC000562,Verification Pending,217.70,25,,2023-12-24,Facebook Ads,New User,2
OPP00000133,133,ACC000931,New User - ACC000931,Closed Won,127.59,100,2024-01-13,2023-12-12,Facebook Ads,New User,43
OPP00000134,,ACC000353,Returning User - ACC000353,Verification Pending,234.25,75,,2023-12-11,Play Store,Returning User,86
OPP00000135,,ACC000125,New User - ACC000125,Activated,193.37,50,,2023-12-23,Facebook Ads,New User,
OPP00000136,,ACC000140,Returning User - ACC000140,Lead,219.34,25,,2023-12-14,Influencer,Returning User,52
OPP00000137,,ACC000447,New User - ACC000447,Activated,257.99,50,,2023-12-16,TikTok,New User,
OPP00000138,,ACC000887,New User - ACC000887,Activated,263.52,75,,2023-12-22,Instagram,New User,
OPP00000139,,ACC000940,New User - ACC000940,Activated,144.10,10,,2024-01-04,Facebook Ads,New User,22
OPP00000140,,ACC000784,New User - ACC000784,Signup Complete,135.01,25,,2023-12-11,Influencer,New User,59
OPP00000141,,ACC000330,New User - ACC000330,Activated,194.87,75,,2023-12-31,Google Ads,New User,33
OPP00000142,,ACC000536,New User - ACC000536,Activated,72.20,25,,2023-12-30,Google Ads,New User,79
OPP00000143,143,ACC000651,New User - ACC000651,Closed Won,69.53,100,2024-01-15,2024-01-04,Instagram,New User,
OPP00000144,144,ACC000081,Returning User - ACC000081,Closed Won,152.47,100,2024-01-09,2023-12-25,Facebook Ads,Returning User,78
OPP00000145,145,ACC000366,New User - ACC000366,Closed Won,289.97,100,2024-01-08,2023-12-15,Email,New User,57
OPP00000146,146,ACC000028,New User - ACC000028,Closed Won,315.96,100,2024-01-05,2023-12-27,Play Store,New User,17
OPP00000147,,ACC000054,Returning User - ACC000054,Verification Pending,231.25,25,,2024-01-02,Email,Returning User,13
OPP00000148,,ACC000438,New User - ACC000438,Verification Pending,192.35,10,,2023-12-25,App Store,New User,84
OPP00000149,,ACC000094,New User - ACC000094,Signup Complete,109.07,75,,2023-12-14,Email,New User,7
OPP00000150,,ACC000203,Returning User - ACC000203,Verification Pending,156.30,50,,2023-12-12,TikTok,Returning User,7
OPP00000151,,ACC000492,New User - ACC000492,Activated,90.19,25,,2023-12-22,Play Store,New User,52
OPP00000152,,ACC000209,New User - ACC000209,Activated,143.34,10,,2023-12-10,Facebook Ads,New User,
OPP00000153,,ACC000949,New User - ACC000949,Activated,226.78,10,,2023-12-19,Organic Search,New User,58
OPP00000154,,ACC000090,Returning User - ACC000090,Signup Complete,106.17,50,,2023-12-08,Email,Returning User,
OPP00000155,,ACC000797,New User - ACC000797,Verification Pending,73.14,25,,2023-12-18,Play Store,New User,47
OPP00000156,,ACC000096,Returning User - ACC000096,Verification Pending,243.73,10,,2023-12-30,Instagram,Returning User,
OPP00000157,,ACC000741,Returning User - ACC000741,Lead,120.86,50,,2023-12-14,TikTok,Returning User,61
OPP00000158,,ACC000414,New User - ACC000414,Verification Pending,112.47,10,,2024-01-03,TikTok,New User,56
OPP00000159,,ACC000223,New User - ACC000223,Activated,178.66,50,,2023-12-14,Referral,New User,41
OPP00000160,,ACC000816,Returning User - ACC000816,Activated,61.56,50,,2023-12-22,Facebook Ads,Returning User,60
OPP00000161,,ACC000801,New User - ACC000801,Signup Complete,147.10,75,,2023-12-29,Organic Search,New User,57
OPP00000162,,ACC000526,New User - ACC000526,Lead,116.12,50,,2023-12-15,App Store,New User,12
OPP00000163,163,ACC000754,New User - ACC000754,Closed Won,345.35,100,2024-01-17,2023-12-18,Influencer,New User,52
OPP00000164,164,ACC000189,New User - ACC000189,Closed Won,485.34,100,2024-01-06,2023-12-31,App Store,New User,8
OPP00000165,,ACC000325,New User - ACC000325,Lead,139.99,75,,2023-12-22,Referral,New User,55
OPP00000166,,ACC000242,New User - ACC000242,Activated,131.56,25,,2023-12-14,Influencer,New User,68
OPP00000167,,ACC000114,New User - ACC000114,Activated,93.25,25,,2023-12-15,Email,New User,76
OPP00000168,168,ACC000903,New User - ACC000903,Closed Won,301.76,100,2024-01-08,2023-12-21,TikTok,New User,
OPP00000169,,ACC000746,New User - ACC000746,Signup Complete,152.72,75,,2023-12-06,Organic Search,New User,31
OPP00000170,170,ACC000693,New User - ACC000693,Closed Won,66.15,100,2024-01-09,2023-12-14,Google Ads,New User,3
OPP00000171,,ACC000103,Returning User - ACC000103,Verification Pending,84.38,75,,2023-12-17,Facebook Ads,Returning User,73
OPP00000172,172,ACC000104,Premium Upgrade - ACC000104,Closed Won,255.71,100,2024-01-19,2023-12-11,Facebook Ads,Premium Upgrade,50
OPP00000173,,ACC000034,Returning User - ACC000034,Signup Complete,103.88,10,,2023-12-28,Influencer,Returning User,93
OPP00000174,,ACC000993,New User - ACC000993,Signup Complete,99.87,50,,2023-12-10,Influencer,New User,
OPP00000175,,ACC000269,Premium Upgrade - ACC000269,Signup Complete,68.48,10,,2024-01-06,Play Store,Premium Upgrade,
OPP00000176,176,ACC000674,New User - ACC000674,Closed Won,200.73,100,2024-01-10,2023-12-16,Referral,New User,
OPP00000177,,ACC000901,Returning User - ACC000901,Signup Complete,73.54,75,,2023-12-17,Play Store,Returning User,82
OPP00000178,,ACC000150,New User - ACC000150,Verification Pending,78.85,75,,2023-12-19,App Store,New User,64
OPP00000179,,ACC000512,Returning User - ACC000512,Lead,263.24,25,,2023-12-07,Organic Search,Returning User,53
OPP00000180,180,ACC000814,New User - ACC000814,Closed Won,75.75,100,2024-01-20,2023-12-20,Instagram,New User,66
OPP00000181,,ACC000409,New User - ACC000409,Activated,264.01,10,,2023-12-18,Google Ads,New User,53
OPP00000182,,ACC000841,New User - ACC000841,Signup Complete,189.33,10,,2024-01-01,App Store,New User,39
OPP00000183,,ACC000210,New User - ACC000210,Signup Complete,261.78,10,,2023-12-26,Referral,New User,79
OPP00000184,184,ACC000113,New User - ACC000113,Closed Won,411.02,100,2024-01-11,2023-12-08,App Store,New User,
OPP00000185,,ACC000296,New User - ACC000296,Signup Complete,97.39,10,,2023-12-29,Google Ads,New User,37
OPP00000186,,ACC000392,New User - ACC000392,Verification Pending,222.69,50,,2023-12-26,App Store,New User,
OPP00000187,,ACC000116,New User - ACC000116,Signup Complete,248.61,25,,2024-01-01,Play Store,New User,60
OPP00000188,188,ACC000288,New User - ACC000288,Closed Won,418.37,100,2024-01-08,2023-12-27,Facebook Ads,New User,56
OPP00000189,,ACC000663,New User - ACC000663,Signup Complete,78.13,10,,2023-12-20,App Store,New User,20
OPP00000190,,ACC000920,Premium Upgrade - ACC000920,Signup Complete,269.13,10,,2024-01-02,App Store,Premium Upgrade,25
OPP00000191,,ACC000606,New User - ACC000606,Activated,83.49,50,,2023-12-26,Email,New User,4
OPP00000192,,ACC000842,New User - ACC000842,Signup Complete,218.54,75,,2024-01-03,Instagram,New User,93
OPP00000193,193,ACC000439,Returning User - ACC000439,Closed Won,69.10,100,2024-01-15,2023-12-13,Google Ads,Returning User,52
OPP00000194,,ACC000588,New User - ACC000588,Verification Pending,165.26,50,,2024-01-05,TikTok,New User,9
OPP00000195,,ACC000455,New User - ACC000455,Verification Pending,236.29,50,,2023-12-18,App Store,New User,
OPP00000196,,ACC000237,New User - ACC000237,Verification Pending,214.79,50,,2023-12-08,Referral,New User,7
OPP00000197,,ACC000224,New User - ACC000224,Activated,133.29,75,,2023-12-22,Instagram,New User,
OPP00000198,,ACC000079,New User - ACC000079,Signup Complete,287.51,50,,2024-01-05,Referral,New User,97
OPP00000199,,ACC000554,New User - ACC000554,Lead,168.01,25,,2023-12-18,Referral,New User,49
OPP00000200,,ACC000702,New User - ACC000702,Activated,55.25,75,,2023-12-27,Email,New User,81
OPP00000201,,ACC000479,New User - ACC000479,Activated,223.41,10,,2023-12-07,Facebook Ads,New User,91
OPP00000202,,ACC000907,New User - ACC000907,Verification Pending,71.60,50,,2023-12-19,Referral,New User,42
OPP00000203,,ACC000674,Premium Upgrade - ACC000674,Verification Pending,213.31,10,,2023-12-21,Referral,Premium Upgrade,26
OPP00000204,,ACC000996,New User - ACC000996,Lead,174.35,75,,2023-12-09,Google Ads,New User,78
OPP00000205,,ACC000056,New User - ACC000056,Verification Pending,285.43,10,,2024-01-04,Google Ads,New User,93
OPP00000206,,ACC000050,New User - ACC000050,Activated,102.93,75,,2023-12-13,Facebook Ads,New User,54
OPP00000207,,ACC000558,Premium Upgrade - ACC000558,Activated,264.15,75,,2023-12-08,Email,Premium Upgrade,67
OPP00000208,,ACC000642,New User - ACC000642,Signup Complete,72.72,50,,2023-12-08,Google Ads,New User,
OPP00000209,,ACC000873,New User - ACC000873,Activated,223.61,75,,2023-12-26,Influencer,New User,54
OPP00000210,210,ACC000830,New User - ACC000830,Closed Won,451.90,100,2024-01-16,2023-12-14,Google Ads,New User,27
OPP00000211,,ACC000607,New User - ACC000607,Activated,261.67,25,,2024-01-03,Facebook Ads,New User,94
OPP00000212,,ACC000878,New User - ACC000878,Verification Pending,277.51,10,,2024-01-02,Influencer,New User,
OPP00000213,213,ACC000224,New User - ACC000224,Closed Won,61.28,100,2024-01-07,2023-12-27,Google Ads,New User,
OPP00000214,,ACC000707,Returning User - ACC000707,Lead,78.95,25,,2024-01-07,Google Ads,Returning User,76
OPP00000215,,ACC000554,New User - ACC000554,Activated,239.73,10,,2023-12-27,Organic Search,New User,7
OPP00000216,,ACC000261,Premium Upgrade - ACC000261,Activated,50.45,50,,2023-12-30,Play Store,Premium Upgrade,59
OPP00000217,,ACC000194,New User - ACC000194,Activated,113.68,25,,2023-12-22,Influencer,New User,5
OPP00000218,218,ACC000116,Returning User - ACC000116,Closed Won,344.70,100,2024-01-11,2023-12-21,Influencer,Returning User,28
OPP00000219,219,ACC000638,Returning User - ACC000638,Closed Won,413.86,100,2024-01-16,2023-12-22,Referral,Returning User,78
OPP00000220,220,ACC000780,Premium Upgrade - ACC000780,Closed Won,242.76,100,2024-01-09,2024-01-01,Email,Premium Upgrade,34
OPP00000221,,ACC000576,Returning User - ACC000576,Lead,254.16,75,,2023-12-28,Play Store,Returning User,
OPP00000222,,ACC000767,Returning User - ACC000767,Signup Complete,261.35,25,,2024-01-07,Facebook Ads,Returning User,79
OPP00000223,,ACC000365,New User - ACC000365,Activated,54.93,75,,2023-12-15,App Store,New User,75
OPP00000224,,ACC000100,New User - ACC000100,Activated,139.46,50,,2023-12-09,App Store,New User,60
OPP00000225,,ACC000368,Returning User - ACC000368,Lead,253.64,25,,2024-01-05,Email,Returning User,49
OPP00000226,,ACC000448,New User - ACC000448,Activated,287.66,10,,2023-12-23,Referral,New User,6
OPP00000227,,ACC000818,Returning User - ACC000818,Activated,128.97,75,,2023-12-28,Instagram,Returning User,
OPP00000228,,ACC000067,New User - ACC000067,Verification Pending,147.28,50,,2023-12-19,Referral,New User,74
OPP00000229,,ACC000163,New User - ACC000163,Lead,277.75,75,,2023-12-27,Organic Search,New User,
OPP00000230,,ACC000939,New User - ACC000939,Signup Complete,145.03,50,,2023-12-13,Referral,New User,22
OPP00000231,,ACC000313,Returning User - ACC000313,Activated,82.83,25,,2023-12-19,Play Store,Returning User,
OPP00000232,232,ACC000879,New User - ACC000879,Closed Won,456.01,100,2024-01-12,2023-12-29,Influencer,New User,62
OPP00000233,233,ACC000163,New User - ACC000163,Closed Won,114.08,100,2024-01-20,2023-12-30,Email,New User,69
OPP00000234,,ACC000207,New User - ACC000207,Signup Complete,157.89,10,,2023-12-22,Play Store,New User,58
OPP00000235,,ACC000395,Returning User - ACC000395,Activated,62.20,50,,2024-01-02,Facebook Ads,Returning User,
OPP00000236,,ACC000456,Returning User - ACC000456,Signup Complete,120.49,10,,2023-12-26,TikTok,Returning User,18
OPP00000237,,ACC000259,New User - ACC000259,Lead,275.65,25,,2024-01-04,Instagram,New User,
OPP00000238,,ACC000955,New User - ACC000955,Signup Complete,183.81,10,,2023-12-26,Referral,New User,2
OPP00000239,,ACC000209,New User - ACC000209,Signup Complete,199.05,25,,2023-12-23,Instagram,New User,
OPP00000240,,ACC000767,Premium Upgrade - ACC000767,Activated,244.62,75,,2023-12-13,Instagram,Premium Upgrade,71
OPP00000241,,ACC000147,Premium Upgrade - ACC000147,Verification Pending,87.64,10,,2023-12-09,Facebook Ads,Premium Upgrade,
OPP00000242,,ACC000834,Premium Upgrade - ACC000834,Signup Complete,79.71,50,,2023-12-31,Facebook Ads,Premium Upgrade,57
OPP00000243,,ACC000725,New User - ACC000725,Activated,160.55,75,,2023-12-11,Instagram,New User,
OPP00000244,244,ACC000383,New User - ACC000383,Closed Won,402.66,100,2024-01-14,2023-12-13,Instagram,New User,52
OPP00000245,,ACC000186,New User - ACC000186,Signup Complete,113.41,10,,2023-12-24,Play Store,New User,23
OPP00000246,,ACC000222,New User - ACC000222,Signup Complete,286.01,10,,2024-01-04,Influencer,New User,25
OPP00000247,247,ACC000128,New User - ACC000128,Closed Won,146.26,100,2024-01-13,2023-12-28,Facebook Ads,New User,100
OPP00000248,248,ACC000208,New User - ACC000208,Closed Won,114.80,100,2024-01-09,2023-12-13,Play Store,New User,42
